Bloc : 6,20 | Moyenne : 78.299805
Bloc : 6,21 | Moyenne : 91.573242
Bloc : 6,22 | Moyenne : 93.402344
Bloc : 6,23 | Moyenne : 81.326172
Bloc : 6,24 | Moyenne : 71.705078
Bloc : 6,25 | Moyenne : 96.494141
Bloc : 6,26 | Moyenne : 92.682617
Bloc : 6,27 | Moyenne : 78.616211
Bloc : 6,28 | Moyenne : 68.025391
Bloc : 6,29 | Moyenne : 82.385742
Bloc : 6,30 | Moyenne : 94.436523
Bloc : 6,31 | Moyenne : 81.449219
Bloc : 7,0 | Moyenne : 102.919922
Bloc : 7,1 | Moyenne : 109.876953
Bloc : 7,2 | Moyenne : 149.439453
Bloc : 7,3 | Moyenne : 174.235352
Bloc : 7,4 | Moyenne : 102.528320
Bloc : 7,5 | Moyenne : 103.476562
Bloc : 7,6 | Moyenne : 72.209961
Bloc : 7,7 | Moyenne : 121.396484
Bloc : 7,8 | Moyenne : 152.141602
Bloc : 7,9 | Moyenne : 182.944336
Bloc : 7,10 | Moyenne : 207.413086
Bloc : 7,11 | Moyenne : 133.363281
Bloc : 7,12 | Moyenne : 98.602539
Bloc : 7,13 | Moyenne : 89.265625
Bloc : 7,14 | Moyenne : 91.309570
Bloc : 7,15 | Moyenne : 95.840820
Bloc : 7,16 | Moyenne : 98.871094
Bloc : 7,17 | Moyenne : 77.738281
Bloc : 7,18 | Moyenne : 73.044922
Bloc : 7,19 | Moyenne : 85.627930
Bloc : 7,20 | Moyenne : 81.778320
Bloc : 7,21 | Moyenne : 88.568359
Bloc : 7,22 | Moyenne : 94.106445
Bloc : 7,23 | Moyenne : 87.565430
Bloc : 7,24 | Moyenne : 79.717773
Bloc : 7,25 | Moyenne : 95.798828
Bloc : 7,26 | Moyenne : 94.479492
Bloc : 7,27 | Moyenne : 89.547852
Bloc : 7,28 | Moyenne : 83.402344
Bloc : 7,29 | Moyenne : 85.135742
Bloc : 7,30 | Moyenne : 86.192383
Bloc : 7,31 | Moyenne : 85.181641
Bloc : 8,0 | Moyenne : 97.714844
Bloc : 8,1 | Moyenne : 115.945312
Bloc : 8,2 | Moyenne : 98.289062
Bloc : 8,3 | Moyenne : 96.133789
Bloc : 8,4 | Moyenne : 52.402344
Bloc : 8,5 | Moyenne : 71.033203
Bloc : 8,6 | Moyenne : 77.732422
Bloc : 8,7 | Moyenne : 78.814453
Bloc : 8,8 | Moyenne : 156.616211
Bloc : 8,9 | Moyenne : 177.438477
Bloc : 8,10 | Moyenne : 199.011719
Bloc : 8,11 | Moyenne : 207.926758
Bloc : 8,12 | Moyenne : 137.762695
Bloc : 8,13 | Moyenne : 94.506836
Bloc : 8,14 | Moyenne : 95.259766
Bloc : 8,15 | Moyenne : 88.406250
Bloc : 8,16 | Moyenne : 92.317383
Bloc : 8,17 | Moyenne : 85.136719
Bloc : 8,18 | Moyenne : 78.175781
Bloc : 8,19 | Moyenne : 86.062500
Bloc : 8,20 | Moyenne : 92.822266
Bloc : 8,21 | Moyenne : 100.078125
Bloc : 8,22 | Moyenne : 94.378906
Bloc : 8,23 | Moyenne : 94.295898
Bloc : 8,24 | Moyenne : 89.705078
Bloc : 8,25 | Moyenne : 100.980469
Bloc : 8,26 | Moyenne : 88.944336
Bloc : 8,27 | Moyenne : 84.045898
Bloc : 8,28 | Moyenne : 87.383789
Bloc : 8,29 | Moyenne : 81.246094
Bloc : 8,30 | Moyenne : 88.058594
Bloc : 8,31 | Moyenne : 85.743164
Bloc : 9,0 | Moyenne : 94.462891
Bloc : 9,1 | Moyenne : 107.398438
Bloc : 9,2 | Moyenne : 90.041992
Bloc : 9,3 | Moyenne : 92.546875
Bloc : 9,4 | Moyenne : 92.295898
Bloc : 9,5 | Moyenne : 90.318359
Bloc : 9,6 | Moyenne : 100.651367
Bloc : 9,7 | Moyenne : 75.246094
Bloc : 9,8 | Moyenne : 145.356445
Bloc : 9,9 | Moyenne : 193.155273
Bloc : 9,10 | Moyenne : 202.390625
Bloc : 9,11 | Moyenne : 232.014648
Bloc : 9,12 | Moyenne : 166.384766
Bloc : 9,13 | Moyenne : 117.526367
Bloc : 9,14 | Moyenne : 102.938477
Bloc : 9,15 | Moyenne : 97.761719
Bloc : 9,16 | Moyenne : 97.494141
Bloc : 9,17 | Moyenne : 88.980469
Bloc : 9,18 | Moyenne : 88.620117
Bloc : 9,19 | Moyenne : 95.140625
Bloc : 9,20 | Moyenne : 99.095703
Bloc : 9,21 | Moyenne : 105.270508
Bloc : 9,22 | Moyenne : 99.735352
Bloc : 9,23 | Moyenne : 94.130859
Bloc : 9,24 | Moyenne : 89.559570
Bloc : 9,25 | Moyenne : 100.390625
Bloc : 9,26 | Moyenne : 100.110352
Bloc : 9,27 | Moyenne : 110.619141
Bloc : 9,28 | Moyenne : 99.269531
Bloc : 9,29 | Moyenne : 76.130859
Bloc : 9,30 | Moyenne : 87.386719
Bloc : 9,31 | Moyenne : 77.022461
Bloc : 10,0 | Moyenne : 92.470703
Bloc : 10,1 | Moyenne : 105.250977
Bloc : 10,2 | Moyenne : 101.108398
Bloc : 10,3 | Moyenne : 101.473633
Bloc : 10,4 | Moyenne : 89.046875
Bloc : 10,5 | Moyenne : 81.532227
Bloc : 10,6 | Moyenne : 92.365234
Bloc : 10,7 | Moyenne : 95.589844
Bloc : 10,8 | Moyenne : 150.528320
Bloc : 10,9 | Moyenne : 189.085938
Bloc : 10,10 | Moyenne : 217.541992
Bloc : 10,11 | Moyenne : 226.856445
Bloc : 10,12 | Moyenne : 225.708008
Bloc : 10,13 | Moyenne : 188.562500
Bloc : 10,14 | Moyenne : 131.686523
Bloc : 10,15 | Moyenne : 113.511719
Bloc : 10,16 | Moyenne : 115.991211
Bloc : 10,17 | Moyenne : 132.590820
Bloc : 10,18 | Moyenne : 149.312500
Bloc : 10,19 | Moyenne : 148.130859
Bloc : 10,20 | Moyenne : 147.432617
Bloc : 10,21 | Moyenne : 123.750977
Bloc : 10,22 | Moyenne : 107.825195
Bloc : 10,23 | Moyenne : 83.265625
Bloc : 10,24 | Moyenne : 98.309570
Bloc : 10,25 | Moyenne : 97.066406
Bloc : 10,26 | Moyenne : 160.957031
Bloc : 10,27 | Moyenne : 174.831055
Bloc : 10,28 | Moyenne : 166.282227
Bloc : 10,29 | Moyenne : 101.002930
Bloc : 10,30 | Moyenne : 80.853516
Bloc : 10,31 | Moyenne : 72.780273
Bloc : 11,0 | Moyenne : 107.991211
Bloc : 11,1 | Moyenne : 96.210938
Bloc : 11,2 | Moyenne : 106.168945
Bloc : 11,3 | Moyenne : 96.410156
Bloc : 11,4 | Moyenne : 98.816406
Bloc : 11,5 | Moyenne : 93.987305
Bloc : 11,6 | Moyenne : 83.989258
Bloc : 11,7 | Moyenne : 111.698242
Bloc : 11,8 | Moyenne : 143.927734
Bloc : 11,9 | Moyenne : 171.307617
Bloc : 11,10 | Moyenne : 216.146484
Bloc : 11,11 | Moyenne : 218.590820
Bloc : 11,12 | Moyenne : 203.466797
Bloc : 11,13 | Moyenne : 189.066406
Bloc : 11,14 | Moyenne : 208.956055
Bloc : 11,15 | Moyenne : 170.622070
Bloc : 11,16 | Moyenne : 164.337891
Bloc : 11,17 | Moyenne : 193.066406
Bloc : 11,18 | Moyenne : 205.609375
